dataset,with_dataset_description,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
walking-activity,YES,S,Random,0,1212,0,1,4,0
walking-activity,YES,SDVC,Random,0,1258,0,1,4,0
walking-activity,YES,SMVF,Random,0,1273,0,1,4,0
walking-activity,YES,SSN,Random,0,1353,0,1,4,0
walking-activity,YES,SCV,Random,0,1260,0,1,4,0
walking-activity,YES,SDVCMVF,Random,0,1328,0,1,4,0
walking-activity,YES,SDVCSN,Random,0,1403,0,1,4,0
walking-activity,YES,SMVFSN,Random,0,1417,0,1,4,0
walking-activity,YES,SMVFCV,Random,0,1324,0,1,4,0
walking-activity,YES,SSNCV,Random,0,1405,0,1,4,0
walking-activity,YES,ALL,Random,0,1444,0,1,4,0
walking-activity,YES,CatDB,Random,0,1446,0,1,4,0
walking-activity,NO,S,Random,0,998,0,1,4,0
walking-activity,NO,SDVC,Random,0,1044,0,1,4,0
walking-activity,NO,SMVF,Random,0,1059,0,1,4,0
walking-activity,NO,SSN,Random,0,1139,0,1,4,0
walking-activity,NO,SCV,Random,0,1046,0,1,4,0
walking-activity,NO,SDVCMVF,Random,0,1114,0,1,4,0
walking-activity,NO,SDVCSN,Random,0,1189,0,1,4,0
walking-activity,NO,SMVFSN,Random,0,1203,0,1,4,0
walking-activity,NO,SMVFCV,Random,0,1110,0,1,4,0
walking-activity,NO,SSNCV,Random,0,1191,0,1,4,0
walking-activity,NO,ALL,Random,0,1230,0,1,4,0
walking-activity,NO,CatDB,Random,0,1232,0,1,4,0
